Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
T20,England,New Zealand,Eden Park,New Zealand,New Zealand,bowl,England,184,8,152,10
T20,Pakistan,Bangladesh,National Stadium,Pakistan,Pakistan,bat,Pakistan,203,5,101,10
T20,New Zealand,England,Old Trafford,England,England,bowl,England,123,9,127,1
T20,Australia,West Indies,Kensington Oval,West Indies,West Indies,bowl,West Indies,97,3,102,3
T20,Netherlands,Kenya,Civil Service Cricket Club,Ireland,Kenya,bowl,Netherlands,153,5,134,9
T20,Scotland,Ireland,Civil Service Cricket Club,Ireland,Scotland,bat,Ireland,117,10,118,6
T20,New Zealand,West Indies,Seddon Park,New Zealand,New Zealand,bat,New Zealand,191,9,155,7
T20,Netherlands,Canada,Civil Service Cricket Club,Ireland,Netherlands,bat,Canada,97,10,99,6
T20,Bermuda,Scotland,Civil Service Cricket Club,Ireland,Scotland,bowl,Scotland,99,7,100,2
T20,Canada,Kenya,Civil Service Cricket Club,Ireland,Canada,bat,Kenya,91,10,92,6
T20,Ireland,Bermuda,Civil Service Cricket Club,Ireland,Ireland,bat,Ireland,43,7,41,8
T20,Kenya,Ireland,Civil Service Cricket Club,Ireland,Ireland,bowl,Ireland,67,10,72,6
T20,Bermuda,Canada,Civil Service Cricket Club,Ireland,Canada,bowl,Canada,70,10,71,2
T20,Netherlands,Ireland,Civil Service Cricket Club,Ireland,Ireland,bowl,0,0,0,0,0
T20,Canada,Zimbabwe,Maple Leaf North-West Ground,Canada,Zimbabwe,bowl,0,135,7,135,9
T20,Sri Lanka,Pakistan,Maple Leaf North-West Ground,Canada,Pakistan,bowl,Pakistan,137,9,141,7
T20,Sri Lanka,Canada,Maple Leaf North-West Ground,Canada,Sri Lanka,bat,Sri Lanka,153,7,138,10
T20,New Zealand,West Indies,Eden Park,New Zealand,New Zealand,bat,0,155,7,155,8
T20,Australia,South Africa,Melbourne Cricket Ground,Australia,Australia,bat,Australia,182,9,130,10
T20,South Africa,Australia,Brisbane Cricket Ground,Australia,South Africa,bat,Australia,157,5,161,4
T20,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,Sri Lanka,bat,India,171,4,174,7
T20,Australia,New Zealand,Sydney Cricket Ground,Australia,Australia,bat,Australia,150,7,149,5
T20,India,New Zealand,AMI Stadium,New Zealand,New Zealand,bowl,New Zealand,162,8,166,3
T20,India,New Zealand,Westpac Stadium,New Zealand,New Zealand,bowl,New Zealand,149,6,150,5
T20,England,West Indies,Queen's Park Oval,West Indies,West Indies,bowl,West Indies,121,10,123,4
T20,Australia,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,South Africa,166,7,168,6
T20,South Africa,Australia,SuperSport Park,South Africa,Australia,bowl,South Africa,156,5,139,8
T20,Australia,Pakistan,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bowl,Pakistan,108,10,109,3
T20,England,Netherlands,Lord's,England,Netherlands,bowl,Netherlands,162,5,163,6
T20,England,South Africa,Trent Bridge,England,England,bat,South Africa,111,10,114,3
T20,Scotland,New Zealand,Kennington Oval,England,New Zealand,bowl,New Zealand,89,4,90,3
T20,Australia,West Indies,Kennington Oval,England,Australia,bat,West Indies,169,7,172,3
T20,India,Bangladesh,Trent Bridge,England,India,bat,India,180,5,155,8
T20,South Africa,Scotland,Kennington Oval,England,Scotland,bowl,South Africa,211,5,81,10
T20,England,Pakistan,Kennington Oval,England,Pakistan,bowl,England,185,5,137,7
T20,Bangladesh,Ireland,Trent Bridge,England,Ireland,bowl,Ireland,137,8,138,4
T20,Australia,Sri Lanka,Trent Bridge,England,Sri Lanka,bowl,Sri Lanka,159,9,160,4
T20,Pakistan,Netherlands,Lord's,England,Pakistan,bat,Pakistan,175,5,93,10
T20,South Africa,New Zealand,Lord's,England,New Zealand,bowl,South Africa,128,7,127,5
T20,Sri Lanka,West Indies,Trent Bridge,England,West Indies,bowl,Sri Lanka,192,5,177,5
T20,Ireland,India,Trent Bridge,England,India,bowl,India,112,8,113,2
T20,New Zealand,Ireland,Trent Bridge,England,Ireland,bowl,New Zealand,198,5,115,10
T20,India,West Indies,Lord's,England,India,bat,West Indies,153,7,156,3
T20,South Africa,West Indies,Kennington Oval,England,West Indies,bowl,South Africa,183,7,163,9
T20,New Zealand,Pakistan,Kennington Oval,England,New Zealand,bat,Pakistan,99,10,100,4
T20,Sri Lanka,Ireland,Lord's,England,Sri Lanka,bat,Sri Lanka,144,9,135,7
T20,England,India,Lord's,England,India,bowl,England,153,7,150,5
T20,Pakistan,Ireland,Kennington Oval,England,Pakistan,bat,Pakistan,159,5,120,9
T20,England,West Indies,Kennington Oval,England,England,bat,West Indies,161,6,82,5
T20,Sri Lanka,New Zealand,Trent Bridge,England,Sri Lanka,bat,Sri Lanka,158,5,110,10
T20,South Africa,India,Trent Bridge,England,South Africa,bat,South Africa,130,5,118,8
T20,Pakistan,South Africa,Trent Bridge,England,Pakistan,bat,Pakistan,149,4,142,5
T20,Sri Lanka,West Indies,Kennington Oval,England,West Indies,bowl,Sri Lanka,158,5,101,10
T20,Sri Lanka,Pakistan,Lord's,England,Sri Lanka,bat,Pakistan,138,6,139,2
T20,Ireland,Scotland,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bat,Ireland,136,7,99,10
T20,Bangladesh,West Indies,Warner Park,West Indies,Bangladesh,bat,West Indies,118,9,119,5
T20,Pakistan,Sri Lanka,R Premadasa Stadium,Sri Lanka,Pakistan,bat,Pakistan,172,5,120,10
T20,Australia,England,Old Trafford,England,England,bowl,0,145,4,4,2
T20,New Zealand,Sri Lanka,R Premadasa Stadium,Sri Lanka,New Zealand,bat,New Zealand,141,8,138,9
T20,New Zealand,Sri Lanka,R Premadasa Stadium,Sri Lanka,New Zealand,bat,New Zealand,170,4,148,8
T20,Pakistan,New Zealand,Dubai International Cricket Stadium,United Arab Emirates,New Zealand,bowl,Pakistan,161,8,112,9
T20,Pakistan,New Zealand,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bat,Pakistan,153,5,146,5
T20,England,South Africa,New Wanderers Stadium,South Africa,South Africa,bowl,England,202,6,127,3
T20,South Africa,England,SuperSport Park,South Africa,South Africa,bat,South Africa,241,6,157,8
T20,Sri Lanka,India,Vidarbha Cricket Association Stadium,India,India,bowl,Sri Lanka,215,5,186,9
T20,Sri Lanka,India,Punjab Cricket Association Stadium,India,Sri Lanka,bat,India,206,7,211,4
T20,Kenya,Netherlands,Sheikh Zayed Stadium,United Arab Emirates,Netherlands,bowl,Netherlands,130,10,133,3
T20,Afghanistan,Ireland,P Sara Oval,Sri Lanka,Afghanistan,bat,Ireland,121,9,124,5
T20,Scotland,Kenya,Gymkhana Club Ground,Kenya,Kenya,bowl,Kenya,109,9,110,0
T20,Canada,Ireland,Sinhalese Sports Club Ground,Sri Lanka,Ireland,bowl,Canada,176,3,172,8
T20,Bangladesh,New Zealand,Seddon Park,New Zealand,Bangladesh,bat,New Zealand,78,10,79,0
T20,Canada,Afghanistan,Sinhalese Sports Club Ground,Sri Lanka,Canada,bat,Afghanistan,140,6,143,5
T20,Scotland,Kenya,Gymkhana Club Ground,Kenya,Kenya,bowl,Kenya,123,10,126,0
T20,Australia,Pakistan,Melbourne Cricket Ground,Australia,Australia,bat,Australia,127,10,125,9
T20,Afghanistan,Ireland,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bowl,Afghanistan,139,8,126,10
T20,Canada,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,Canada,bat,Netherlands,142,7,146,4
T20,Afghanistan,Scotland,Sheikh Zayed Stadium,United Arab Emirates,Scotland,bowl,Afghanistan,131,7,117,9
T20,Canada,Kenya,Dubai International Cricket Stadium,United Arab Emirates,Kenya,bowl,Kenya,138,9,141,1
T20,Afghanistan,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,bowl,Netherlands,128,9,132,6
T20,Ireland,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bat,Ireland,151,6,86,10
T20,Ireland,Afghanistan,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bat,Afghanistan,142,8,147,2
T20,Pakistan,England,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bat,England,129,8,130,3
T20,England,Pakistan,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bowl,Pakistan,148,6,149,6
T20,Australia,West Indies,Bellerive Oval,Australia,Australia,bat,Australia,179,8,141,8
T20,West Indies,Australia,Sydney Cricket Ground,Australia,West Indies,bat,Australia,138,7,142,2
T20,New Zealand,Australia,Westpac Stadium,New Zealand,New Zealand,bat,Australia,118,10,119,4
T20,Zimbabwe,West Indies,Queen's Park Oval,West Indies,Zimbabwe,bat,Zimbabwe,105,10,79,7
T20,Sri Lanka,New Zealand,Providence Stadium,West Indies,Sri Lanka,bat,New Zealand,135,6,139,8
T20,West Indies,Ireland,Providence Stadium,West Indies,West Indies,bat,West Indies,138,9,68,10
T20,Afghanistan,India,Beausejour Stadium,West Indies,India,bowl,India,115,8,116,3
T20,Pakistan,Bangladesh,Beausejour Stadium,West Indies,Pakistan,bat,Pakistan,172,3,151,7
T20,India,South Africa,Beausejour Stadium,West Indies,South Africa,bowl,India,186,5,172,5
T20,Australia,Pakistan,Beausejour Stadium,West Indies,Australia,bat,Australia,191,10,157,10
T20,Sri Lanka,Zimbabwe,Providence Stadium,West Indies,Sri Lanka,bat,Sri Lanka,173,7,29,1
T20,England,West Indies,Providence Stadium,West Indies,West Indies,bowl,West Indies,191,5,60,2
T20,Zimbabwe,New Zealand,Providence Stadium,West Indies,New Zealand,bowl,New Zealand,84,10,36,1
T20,England,Ireland,Providence Stadium,West Indies,Ireland,bowl,0,120,8,14,1
T20,Australia,Bangladesh,Kensington Oval,West Indies,Australia,bat,Australia,141,7,114,10
T20,South Africa,Afghanistan,Kensington Oval,West Indies,Afghanistan,bowl,South Africa,139,7,80,10
T20,Pakistan,England,Kensington Oval,West Indies,England,bowl,England,147,9,151,4
T20,South Africa,New Zealand,Kensington Oval,West Indies,South Africa,bat,South Africa,170,4,157,7
T20,Australia,India,Kensington Oval,West Indies,India,bowl,Australia,184,5,135,10
T20,Sri Lanka,West Indies,Kensington Oval,West Indies,Sri Lanka,bat,Sri Lanka,195,3,138,8
T20,New Zealand,Pakistan,Kensington Oval,West Indies,Pakistan,bowl,New Zealand,133,7,132,7
T20,England,South Africa,Kensington Oval,West Indies,England,bat,England,168,7,129,10
T20,West Indies,India,Kensington Oval,West Indies,India,bowl,West Indies,169,6,155,9
T20,Australia,Sri Lanka,Kensington Oval,West Indies,Australia,bat,Australia,168,5,87,10
T20,Pakistan,South Africa,Beausejour Stadium,West Indies,Pakistan,bat,Pakistan,148,7,137,7
T20,New Zealand,England,Beausejour Stadium,West Indies,New Zealand,bat,England,149,6,153,7
T20,India,Sri Lanka,Beausejour Stadium,West Indies,India,bat,Sri Lanka,163,5,167,5
T20,West Indies,Australia,Beausejour Stadium,West Indies,West Indies,bat,Australia,105,10,109,4
