Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
ODI,England,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,212,6,215,6
ODI,England,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,94,10,95,4
ODI,India,West Indies,Edgbaston,England,West Indies,bowl,West Indies,190,10,194,1
ODI,Sri Lanka,New Zealand,Trent Bridge,England,New Zealand,bowl,New Zealand,189,10,190,1
ODI,Australia,England,Lord's,England,England,bowl,England,159,9,160,4
ODI,Canada,Pakistan,Headingley,England,Canada,bat,Pakistan,139,9,140,2
ODI,India,New Zealand,Headingley,England,New Zealand,bowl,New Zealand,182,10,183,2
ODI,Pakistan,Australia,Trent Bridge,England,Australia,bowl,Pakistan,286,7,197,10
ODI,Canada,England,Old Trafford,England,Canada,bat,England,45,10,46,2
ODI,Sri Lanka,India,Old Trafford,England,India,bowl,Sri Lanka,238,5,191,10
ODI,West Indies,New Zealand,Trent Bridge,England,New Zealand,bowl,West Indies,244,7,212,9
ODI,Canada,Australia,Edgbaston,England,Australia,bowl,Australia,105,10,106,3
ODI,England,Pakistan,Headingley,England,Pakistan,bowl,England,165,9,151,10
ODI,England,New Zealand,Old Trafford,England,New Zealand,bowl,England,221,8,212,9
ODI,West Indies,Pakistan,Kennington Oval,England,Pakistan,bowl,West Indies,293,6,250,10
ODI,West Indies,England,Lord's,England,England,bowl,West Indies,286,9,194,10
ODI,West Indies,Australia,Sydney Cricket Ground,Australia,Australia,bowl,Australia,193,10,196,5
ODI,England,West Indies,Sydney Cricket Ground,Australia,West Indies,bowl,England,211,8,196,10
ODI,Australia,England,Melbourne Cricket Ground,Australia,England,bowl,England,207,9,209,7
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,West Indies,271,2,191,8
ODI,England,Australia,Sydney Cricket Ground,Australia,England,bat,England,264,7,192,10
ODI,Australia,West Indies,Sydney Cricket Ground,Australia,West Indies,bowl,Australia,176,6,169,10
ODI,England,West Indies,Brisbane Cricket Ground,Australia,West Indies,bowl,West Indies,217,8,218,1
ODI,Australia,England,Sydney Cricket Ground,Australia,Australia,bat,England,194,6,195,6
ODI,Australia,England,Sydney Cricket Ground,Australia,England,bowl,England,163,10,164,8
ODI,West Indies,England,Adelaide Oval,Australia,England,bowl,West Indies,246,5,139,10
ODI,Australia,West Indies,Sydney Cricket Ground,Australia,Australia,bat,Australia,190,10,181,10
ODI,West Indies,England,Melbourne Cricket Ground,Australia,England,bowl,West Indies,215,8,213,7
ODI,England,West Indies,Sydney Cricket Ground,Australia,England,bat,West Indies,208,8,209,2
ODI,West Indies,New Zealand,Lancaster Park,New Zealand,New Zealand,bowl,New Zealand,203,7,207,9
ODI,West Indies,England,Headingley,England,England,bowl,West Indies,198,10,174,10
ODI,West Indies,England,Lord's,England,England,bowl,England,235,9,236,7
ODI,England,Australia,Kennington Oval,England,Australia,bowl,England,248,6,225,8
ODI,England,Australia,Edgbaston,England,Australia,bowl,England,320,8,273,5
ODI,Pakistan,West Indies,National Stadium,Pakistan,West Indies,bowl,West Indies,127,9,128,6
ODI,Australia,New Zealand,Adelaide Oval,Australia,New Zealand,bowl,New Zealand,217,9,219,7
ODI,Australia,New Zealand,Sydney Cricket Ground,Australia,Australia,bat,Australia,289,3,195,10
ODI,Pakistan,West Indies,Jinnah Stadium,Pakistan,West Indies,bowl,West Indies,200,4,201,3
ODI,India,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,India,208,9,142,10
ODI,New Zealand,Australia,Melbourne Cricket Ground,Australia,New Zealand,bat,Australia,156,10,159,6
ODI,India,New Zealand,Western Australia Cricket Association Ground,Australia,India,bat,India,162,10,157,10
ODI,India,Australia,Sydney Cricket Ground,Australia,Australia,bowl,Australia,180,9,183,1
ODI,West Indies,Pakistan,Gaddafi Stadium,Pakistan,Pakistan,bowl,West Indies,170,8,163,6
ODI,India,New Zealand,Brisbane Cricket Ground,Australia,India,bat,New Zealand,204,10,205,7
ODI,India,New Zealand,Adelaide Oval,Australia,India,bat,India,230,7,224,10
ODI,India,Australia,Sydney Cricket Ground,Australia,Australia,bowl,Australia,63,10,64,1
ODI,India,New Zealand,Melbourne Cricket Ground,Australia,New Zealand,bowl,New Zealand,112,9,113,0
ODI,India,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,192,5,193,3
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,New Zealand,bat,New Zealand,220,8,219,7
ODI,Australia,India,Sydney Cricket Ground,Australia,India,bowl,Australia,242,8,215,8
ODI,New Zealand,India,Brisbane Cricket Ground,Australia,India,bowl,New Zealand,242,9,220,10
ODI,Australia,New Zealand,Sydney Cricket Ground,Australia,Australia,bat,0,180,10,23,1
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,Australia,bowl,New Zealand,233,6,155,10
ODI,New Zealand,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,126,10,130,3
ODI,Australia,New Zealand,Melbourne Cricket Ground,Australia,Australia,bat,Australia,235,4,229,8
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,New Zealand,bat,Australia,215,8,218,4
ODI,West Indies,England,Arnos Vale Ground,West Indies,England,bowl,West Indies,127,10,125,10
ODI,New Zealand,India,Eden Park,New Zealand,India,bowl,New Zealand,218,6,140,9
ODI,New Zealand,India,Trust Bank Park,New Zealand,India,bowl,New Zealand,210,8,153,10
ODI,England,West Indies,Albion Sports Complex,West Indies,West Indies,bowl,West Indies,137,10,138,4
ODI,Australia,England,Lord's,England,England,bowl,England,210,7,212,4
ODI,Australia,England,Edgbaston,England,England,bowl,Australia,249,8,247,10
ODI,Australia,England,Headingley,England,England,bowl,Australia,236,8,165,10
ODI,West Indies,Pakistan,Melbourne Cricket Ground,Australia,Pakistan,bowl,West Indies,245,8,227,6
ODI,Australia,Pakistan,Melbourne Cricket Ground,Australia,Pakistan,bowl,Pakistan,209,9,210,6
ODI,India,Pakistan,Jinnah Stadium,Pakistan,Pakistan,bowl,0,210,3,0,0
ODI,West Indies,Australia,Sydney Cricket Ground,Australia,West Indies,bat,Australia,236,8,237,3
ODI,India,England,Sardar Vallabhbhai Patel Stadium,India,England,bowl,England,156,7,160,5
ODI,Pakistan,West Indies,Adelaide Oval,Australia,West Indies,bowl,Pakistan,140,10,132,10
ODI,Australia,Pakistan,Adelaide Oval,Australia,Australia,bat,Australia,208,10,170,8
ODI,Australia,Pakistan,Sydney Cricket Ground,Australia,Pakistan,bowl,Pakistan,222,6,223,4
ODI,Pakistan,West Indies,Western Australia Cricket Association Ground,Australia,Pakistan,bat,West Indies,160,9,161,3
ODI,Australia,West Indies,Western Australia Cricket Association Ground,Australia,West Indies,bowl,West Indies,188,9,190,2
ODI,England,India,Burlton Park,India,India,bowl,India,161,7,164,4
ODI,Pakistan,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Pakistan,218,6,193,10
ODI,Australia,West Indies,Melbourne Cricket Ground,Australia,Australia,bat,West Indies,146,10,147,5
ODI,Pakistan,West Indies,Sydney Cricket Ground,Australia,Pakistan,bat,West Indies,191,7,192,3
ODI,Australia,Pakistan,Sydney Cricket Ground,Australia,Pakistan,bowl,Australia,230,5,154,9
ODI,Pakistan,West Indies,Brisbane Cricket Ground,Australia,West Indies,bowl,West Indies,177,9,107,9
